Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
AFF1-AS1		NR_038841	100506746
AFF2	FMR2	NM_002025	2334
AFF2-IT1			100874269
AFF3	LAF4	NM_002285	3899
AFF4		NM_014423	27125
AFG1L	LACE1	NM_145315	246269
AFG3			
AFG3L1P	AFG3, AFG3L1	NR_003226	172
AFG3L2	SCA28	NM_006796	10939
AFG3L2P1	AFG3L2P		347028
AFM			173
AFMID		NM_001145526	125061
AFP	HPAFP		174
AFTPH		NM_017657	54812
AGA		NM_000027	175
AGAP1	CENTG2	NM_014914	116987
AGAP1-IT1			100506749
AGAP2	CENTG1	NM_014770	116986
AGAP2-AS1		NR_027032	100130776
AGAP3	CENTG3	NM_031946	116988
AGAP4	CTGLF1, AGAP8, CTGLF5	NM_133446	119016
AGAP5	CTGLF2	NM_001144000	729092
AGAP6	CTGLF3	NM_001077665	414189
AGAP7P	CTGLF4, AGAP7	NM_001077685	653268
AGAP8	CTGLF5		
AGAP9	CTGLF6	NM_001190810	642517
AGAP10	CTGLF7		
AGAP10P	AGAP10, CTGLF7, CTGLF10P	NG_005805	653234
AGAP11		NM_133447	119385
AGAP12P	CTGLF12P		414224
AGAP13P	CTGLF9P		728005
AGAP14P	CTGLF11P, AGAP14	NG_005806	653259
AGBL1		NM_152336	123624
AGBL1-AS1			727915
AGBL2		NM_024783	79841
AGBL3		NM_178563	340351
AGBL4		NM_032785	84871
AGBL4-AS1		NR_125988	101929721
AGBL4-IT1			100874313
AGBL5		NM_021831	60509
AGBL5-AS1			100874031
AGBL5-IT1			106481744
AGER		NM_001136	177
AGFG1	HRB	NM_004504	3267
AGFG2	HRBL	NM_006076	3268
AGGF1		NM_018046	55109
AGGF1P1			100132380
AGGF1P2		NG_005569	644435
AGGF1P3			391552
AGGF1P4			100129351
AGGF1P5			100128103
AGGF1P6			106481737
AGGF1P7			100132606
AGGF1P8			100128804
AGGF1P9			100127958
AGGF1P10			100288774
AGK	MULK	NM_018238	55750
AGKP1		NG_002810	359793
AGL		NM_000028	178
AGMAT		NM_024758	79814
AGMO	TMEM195	NM_001004320	392636
AGMX1			
AGMX2			179
AGO1	EIF2C1		26523
AGO2	EIF2C2, CASC7	NM_012154	27161
AGO3	EIF2C3	NM_024852	192669
AGO4	EIF2C4	NM_017629	192670
AGPAT1		NM_006411	10554
AGPAT2	BSCL	NM_006412	10555
AGPAT3		NM_020132	56894
AGPAT4		NM_020133	56895
AGPAT4-IT1	C6orf59, NCRNA00241	NR_024277	79992
AGPAT5		NM_018361	55326
AGPAT5P1			646231
AGPS			8540
AGR2		NM_006408	10551
AGR3		NM_176813	155465
AGRN	AGRIN	NM_198576	375790
AGRP			181
AGS			
AGS1	AGS1		
AGS2	AGS2		
AGT	SERPINA8	NM_000029	183
AGTBP			
AGTIL			
AGTPBP1		NM_015239	23287
AGTR1	AGTR1B		185
AGTR1B			
AGTR2		NM_000686	186
AGTRAP		NM_020350	57085
AGTRL2			
AGXT	SPAT	NM_000030	189
AGXT2		NM_031900	64902
AHC			
AHCTF1		NM_015446	25909
AHCTF1P1	AHCTF1P	NG_002622	285116
AHCY		NM_000687	191
AHCYL1			10768
AHCYL2			23382
AHCYP1		NG_022175	340844
AHCYP2		NG_021677	392387
AHCYP3		NG_021515	402093
AHCYP4		NG_021526	129560
AHCYP5		NG_021544	391470
AHCYP6		NG_024541	100419714
AHCYP7		NG_022129	645486
AHCYP8			107063538
AHDC1			27245
AHDS			
AHI1		NM_017651	54806
AHNAK		NM_024060	79026
AHNAK2	C14orf78	NM_138420	113146
AHR		NM_001621	196
AHRR	AHH, AHHR	NM_020731	57491
AHSA1	C14orf3	NM_012111	10598
AHSA2P	AHSA2		130872
AHSG		NM_001622	197
AHSP	ERAF	NM_016633	51327
AIC			192
AICDA		NM_020661	57379
AIDA	C1orf80	NM_022831	64853
AIED			
AIF1			199
AIF1L	C9orf58	NM_031426	83543
AIFM1	PDCD8, NAMSD, AUNX1		9131
AIFM1P1		NG_021350	645120
AIFM2	AMID	NM_032797	84883
AIFM3		NM_144704	150209
AIG1		NM_016108	51390
AIG1P1			106479028
AIH1			
AIH2			
AIH3			201
AIM2		NM_004833	9447
AIMP1	SCYE1	NM_004757	9255
AIMP1P1	SCYE1P		170547
AIMP1P2		NG_032149	100873064
AIMP2		NM_006303	7965
AIP			9049
AIPL1	LCA4	NM_014336	23746
AIRE	APECED		326
AIRN		NR_047511	100271873
AIS1			373071
AIS2			378426
AIS3			378427
AJAP1		NM_018836	55966
AJM1	C9orf172	NM_001080482	389813
AJUBA	JUB		84962
AK1			203
AK2		NM_001625	204
AK2P1		NG_002393	266920
AK2P2		NG_009660	339736
AK3	AK6, AK3L1	NM_016282	50808
AK3P2			100419074
AK3P3		NG_026542	100419075
